0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Canara Bank
2,67,75,316  2 Crore+","Saraswat Bank
6,41,287  6 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,74,16,603
2 Crore+"
Loans due to Individual / Entity,"4,92,14,798  4 Crore+","1,25,47,410  1 Crore+",Nil,Nil,Nil,Nil,"Rs 6,17,62,208
6 Crore+",
Any other Liability,Nil,"17,25,000  17 Lacs+",Nil,Nil,Nil,Nil,"Rs 17,25,000
17 Lacs+",
Grand Total of Liabilities (as per affidavit),"7,59,90,114  7 Crore+","1,49,13,697  1 Crore+",Nil,Nil,Nil,Nil,"Rs 9,09,03,811
9 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending","3,88,069  3 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 3,88,069
3 Lacs+"
Totals (Calculated as Sum of Values),"Rs 7,63,78,183
7 Crore+","Rs 1,49,13,697
1 Crore+",Nil,Nil,Nil,Nil,"Rs 9,12,91,880
9 Crore+",
