0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Bank of Baroda, Br. Powai, Mumbai, House Loan
10,61,145  10 Lacs+

Bank of Baroda, Br. Powai, Mumbai, Car Loan
8,45,647  8 Lacs+","State Bank of India, Br. Dhadgaon, Loan Ac No.384709927324
19,02,350  19 Lacs+",Nil,"JCB Loan, HDFC Bank
10,22,000  10 Lacs+",Nil,Nil,"Rs 48,31,142
48 Lacs+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"19,06,792  19 Lacs+","19,02,350  19 Lacs+",Nil,"10,22,000  10 Lacs+",Nil,Nil,"Rs 48,31,142
48 Lacs+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 19,06,792
19 Lacs+","Rs 19,02,350
19 Lacs+",Nil,"Rs 10,22,000
10 Lacs+",Nil,Nil,"Rs 48,31,142
48 Lacs+",
