0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"SBI khamgaon
8,00,941  8 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 8,00,941
8 Lacs+"
Loans due to Individual / Entity,"Shree pandurang pundlik fundkar
6,46,000  6 Lacs+

Shree mati sunita pandurang
7,73,000  7 Lacs+

Shree sagar pandurang fundkar
18,26,059  18 Lacs+

Uma agrawal
7,50,000  7 Lacs+

Viplav Bajoriya
13,00,000  13 Lacs+

Sandeep harishchand verma
10,00,000  10 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 62,95,059
62 Lacs+",
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"70,96,000  70 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 70,96,000
70 Lacs+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 70,96,000
70 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 70,96,000
70 Lacs+",
