0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Gardi Society Crop Loan
3,45,000  3 Lacs+

Madhyam Loan
1,03,500  1 Lacs+

Grapes Garden Loan
15,97,542  15 Lacs+

Tractor & Blower Loan
3,72,664  3 Lacs+

Madhyam PVC Pipe Motor Loan
5,98,000  5 Lacs+

Chintamani Patsanstha Ltd
4,26,375  4 Lacs+

Jan Kalyan Nagari Bank
13,85,000  13 Lacs+","Vita Merchants Co Op Bank Poultry Cash Credit
87,60,532  87 Lacs+

Poultry Kajis
21,26,125  21 Lacs+

Poultry Shed
50,60,735  50 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,07,75,473
2 Crore+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"48,28,081  48 Lacs+","1,59,47,392  1 Crore+",Nil,Nil,Nil,Nil,"Rs 2,07,75,473
2 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 48,28,081
48 Lacs+","Rs 1,59,47,392
1 Crore+",Nil,Nil,Nil,Nil,"Rs 2,07,75,473
2 Crore+",
