0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Punjab National Bank,Dharmpeth,Nagpur Home Loan
35,42,550  35 Lacs+

BOI, Sheetalwadi, Ramtek Vehicle Loan
11,53,985  11 Lacs+","Punjab National Bank, Dharmpeth, Nagpur, Home Loan
35,42,550  35 Lacs+","UCO Bank, Ramtek, Croploan
3,00,000  3 Lacs+",Nil,Nil,Nil,"Rs 85,39,085
85 Lacs+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"46,96,535  46 Lacs+","35,42,550  35 Lacs+","3,00,000  3 Lacs+",Nil,Nil,Nil,"Rs 85,39,085
85 Lacs+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 46,96,535
46 Lacs+","Rs 35,42,550
35 Lacs+","Rs 3,00,000
3 Lacs+",Nil,Nil,Nil,"Rs 85,39,085
85 Lacs+",
