0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"SBI Personal Loan
1,62,000  1 Lacs+","Seva Sah Society Lohgaon
59,000  59 Thou+",Nil,Nil,Nil,Nil,"Rs 2,21,000
2 Lacs+"
Loans due to Individual / Entity,"Seva Sah Society Lohgaon
1,33,000  1 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 1,33,000
1 Lacs+",
Any other Liability,"Sah Patsanstha Daryapur
1,31,000  1 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 1,31,000
1 Lacs+",
Grand Total of Liabilities (as per affidavit),"4,26,000  4 Lacs+","59,000  59 Thou+",Nil,Nil,Nil,Nil,"Rs 4,85,000
4 Lacs+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 4,26,000
4 Lacs+","Rs 59,000
59 Thou+",Nil,Nil,Nil,Nil,"Rs 4,85,000
4 Lacs+",
