0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"IOB, Sion CC Against Property SME Loan and Vehicle loan
1,90,00,000  1 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 1,90,00,000
1 Crore+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"1,90,00,000  1 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 1,90,00,000
1 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,"17,65,000  17 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 17,65,000
17 Lacs+",
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),"17,65,000  17 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 17,65,000
17 Lacs+"
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 2,07,65,000
2 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 2,07,65,000
2 Crore+",
