0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"SBI Branch-Muktainagar, Pic Loan
2,85,000  2 Lacs+

SBI Branch-Muktainagar, Paipline Loan
3,52,000  3 Lacs+

SBI Branch-Muktainagar, Gold Loan
5,32,000  5 Lacs+

Vical Loan
5,59,000  5 Lacs+

Bank of Baroda/ Vijya Bank Jalgao Vical Loan
18,90,000  18 Lacs+

Central Bank of India, Branch Muktainagar,Pic Loan
3,58,000  3 Lacs+

ICICI Bank, Branch Muktainagr
2,22,000  2 Lacs+","Central Bank of India, Branch Muktainagar,Pic Loan
3,20,000  3 Lacs+",Nil,Nil,Nil,Nil,"Rs 45,18,000
45 Lacs+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"41,98,000  41 Lacs+","3,20,000  3 Lacs+",Nil,Nil,Nil,Nil,"Rs 45,18,000
45 Lacs+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 41,98,000
41 Lacs+","Rs 3,20,000
3 Lacs+",Nil,Nil,Nil,Nil,"Rs 45,18,000
45 Lacs+",
