0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Loans due to Individual / Entity,"Meena Bhujbal
31,16,000  31 Lacs+

Yashodhan Farm
7,08,426  7 Lacs+","Hirabai Bhujbal
7,85,795  7 Lacs+

kishan Marine Services
1,00,000  1 Lacs+

Rainbow Bridge
3,00,000  3 Lacs+

Rajesh Tiwari
4,00,000  4 Lacs+

Shree Tirupati Balaji Services
70,000  70 Thou+",Nil,Nil,Nil,Nil,"Rs 54,80,221
54 Lacs+",
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"38,24,426  38 Lacs+","16,55,795  16 Lacs+",Nil,Nil,Nil,Nil,"Rs 54,80,221
54 Lacs+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,"determined by the Income Tax Department for F.Y. 2012-2013 but same has been challenge before the Income Tax Authority
36,34,074  36 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 36,34,074
36 Lacs+",
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),"36,34,074  36 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 36,34,074
36 Lacs+"
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 74,58,500
74 Lacs+","Rs 16,55,795
16 Lacs+",Nil,Nil,Nil,Nil,"Rs 91,14,295
91 Lacs+",
