0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Maharashtra State Sah Bank
5,49,314  5 Lacs+

Rajgurunagar Sah Bank 181/36
3,36,054  3 Lacs+

Pune District Bank Crop Loan
72,000  72 Thou+

Sai Baba Gramin Co Op Society
19,06,000  19 Lacs+","HSBC Bank Vehicle Loan
1,00,000  1 Lacs+

Pune District Sah Bank Crop Loan
1,60,000  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 31,23,368
31 Lacs+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"28,63,368  28 Lacs+","2,60,000  2 Lacs+",Nil,Nil,Nil,Nil,"Rs 31,23,368
31 Lacs+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 28,63,368
28 Lacs+","Rs 2,60,000
2 Lacs+",Nil,Nil,Nil,Nil,"Rs 31,23,368
31 Lacs+",
