0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Maharashtra State Cooperative Bank Limited, Mumbai- Housing Loan
5,70,830  5 Lacs+

Shikshak Sahakari Bankl Limited, Nagpur (Loan Purchase)
0  

Shikshak sahakari Bank Limited (Over Draft Housing Loan)
0  

Cosmic Grace Auto (India) Pvt Ltd. (Vehicle Loan)
5,63,980  5 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 11,34,810
11 Lacs+"
Loans due to Individual / Entity,"Unsecured Loans other Relative & Friends
2,92,34,425  2 Crore+","Unsecured Loans other Relative & Friends
72,09,225  72 Lacs+",Nil,Nil,Nil,Nil,"Rs 3,64,43,650
3 Crore+",
Any other Liability,"Security Deposits Against Property
28,17,399  28 Lacs+","Security Deposits Against Property
4,00,000  4 Lacs+",Nil,Nil,Nil,Nil,"Rs 32,17,399
32 Lacs+",
Grand Total of Liabilities (as per affidavit),"3,31,86,634  3 Crore+","76,09,225  76 Lacs+",Nil,Nil,Nil,Nil,"Rs 4,07,95,859
4 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 3,31,86,634
3 Crore+","Rs 76,09,225
76 Lacs+",Nil,Nil,Nil,Nil,"Rs 4,07,95,859
4 Crore+",
