0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"BULDHANA co op credit branch BULDHANA
2,21,70,805  2 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 2,21,70,805
2 Crore+"
Loans due to Individual / Entity,"Loan Maruti Tekale
14,40,000  14 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 14,40,000
14 Lacs+",
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"2,36,10,805  2 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 2,36,10,805
2 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending","Maharashtra State Electricity Distribution Company
4,43,780  4 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 4,43,780
4 Lacs+"
Totals (Calculated as Sum of Values),"Rs 2,40,54,585
2 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 2,40,54,585
2 Crore+",
