0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,Nil,"15,89,14,692  15 Crore+",Nil,Nil,Nil,Nil,"Rs 15,89,14,692
15 Crore+"
Loans due to Individual / Entity,"6,56,77,580  6 Crore+","85,57,43,620  85 Crore+",Nil,Nil,Nil,Nil,"Rs 92,14,21,200
92 Crore+",
Any other Liability,Nil,"13,00,18,070  13 Crore+",Nil,Nil,Nil,Nil,"Rs 13,00,18,070
13 Crore+",
Grand Total of Liabilities (as per affidavit),"6,56,77,580  6 Crore+","1,14,46,76,382  114 Crore+",Nil,Nil,Nil,Nil,"Rs 1,21,03,53,962
121 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 6,56,77,580
6 Crore+","Rs 1,14,46,76,382
114 Crore+",Nil,Nil,Nil,Nil,"Rs 1,21,03,53,962
121 Crore+",
