0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Vividh Karya Sarola OSmanabad
1,53,000  1 Lacs+

Vividh Karya Devdhanora Osmanabad
49,300  49 Thou+

Yashvant Nagari Bank Osmanabad
10,82,955  10 Lacs+

Syndicate Bank Crop Loan
3,09,311  3 Lacs+

ICICI Osmanabad Gold Loan
1,01,282  1 Lacs+","SBI Agriculture Loan
4,63,640  4 Lacs+",Nil,Nil,Nil,Nil,"Rs 21,59,488
21 Lacs+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"16,95,848  16 Lacs+","4,63,640  4 Lacs+",Nil,Nil,Nil,Nil,"Rs 21,59,488
21 Lacs+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 16,95,848
16 Lacs+","Rs 4,63,640
4 Lacs+",Nil,Nil,Nil,Nil,"Rs 21,59,488
21 Lacs+",
