0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Ford Endeavour MH48BH3456
24,90,553  24 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 24,90,553
24 Lacs+"
Loans due to Individual / Entity,"Hitendra Thakur
9,00,000  9 Lacs+

Sunil Sindhal
3,54,00,000  3 Crore+

Sunidhi Consultancy Pvt Ltd
661  6 Hund+

Company Loan
9,88,89,523  9 Crore+","Kshitij Thakur
5,45,000  5 Lacs+",Nil,Nil,Nil,Nil,"Rs 13,57,35,184
13 Crore+",
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"13,76,80,738  13 Crore+","5,45,000  5 Lacs+",Nil,Nil,Nil,Nil,"Rs 13,82,25,738
13 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 13,76,80,737
13 Crore+","Rs 5,45,000
5 Lacs+",Nil,Nil,Nil,Nil,"Rs 13,82,25,737
13 Crore+",
