0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Kalyan Janta Sahakari Bank (KVLN-22)
10,93,323  10 Lacs+

HDFC Bank Vehicle Loan
38,81,505  38 Lacs+

Kalyan Janta Sahakari Bank Business Purpose
65,64,927  65 Lacs+","Kalyan Janta Sahakari Bank (OMTLN-251) Business Purpose
33,24,785  33 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,48,64,540
1 Crore+"
Loans due to Individual / Entity,"Business Purpose
3,77,60,901  3 Crore+","Business Purpose
5,20,96,820  5 Crore+","18,44,000  18 Lacs+",Nil,Nil,Nil,"Rs 9,17,01,721
9 Crore+",
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"4,93,00,656  4 Crore+","5,54,21,605  5 Crore+","18,44,000  18 Lacs+",Nil,Nil,Nil,"Rs 10,65,66,261
10 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 4,93,00,656
4 Crore+","Rs 5,54,21,605
5 Crore+","Rs 18,44,000
18 Lacs+",Nil,Nil,Nil,"Rs 10,65,66,261
10 Crore+",
