0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Bank of Maharashtra, Krushna Nagar, Satara, Home Loan
13,72,258  13 Lacs+

Bank of Maharashtra, Krushana Nagar, Satara, Kisan Credit Card
1,21,674  1 Lacs+

Chhattrapati Sambhaji Maharaj Sahakari Pathsanstha Ltd, Pinpode Bu, Land Mortgage Loan
28,00,000  28 Lacs+

Bopegaon Vikas Seva Society Ltd, Bopegaon, Tal - Wai, Crop Loan
10,46,325  10 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 53,40,257
53 Lacs+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"53,40,257.07  53 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 53,40,257.07
53 Lacs+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 53,40,257
53 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 53,40,257
53 Lacs+",
