0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"PDCC Bank
2,64,435  2 Lacs+

PDCC Bank
40,800  40 Thou+

PDCC Bank
20,400  20 Thou+

Bank Loan Commercial
63,00,000  63 Lacs+

LIC Housing Finance
1,45,00,000  1 Crore+",Nil,Nil,"Meghna Sakore
50,000  50 Thou+","Meghna Sakore
50,000  50 Thou+",Nil,"Rs 2,12,25,635
2 Crore+"
Loans due to Individual / Entity,"Unsecured Loan
94,14,711  94 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 94,14,711
94 Lacs+",
Any other Liability,"Other Loan
1,28,59,662  1 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 1,28,59,662
1 Crore+",
Grand Total of Liabilities (as per affidavit),"4,34,00,008.56  4 Crore+",Nil,Nil,"50,000  50 Thou+","50,000  50 Thou+",Nil,"Rs 4,35,00,008.56
4 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 4,34,00,008
4 Crore+",Nil,Nil,"Rs 50,000
50 Thou+","Rs 50,000
50 Thou+",Nil,"Rs 4,35,00,008
4 Crore+",
