0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Uttamrao Dhikale Panchvati Nagari Co-Op Bank
5,33,845  5 Lacs+

Saraswat Co-Op Bank
24,49,644  24 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 29,83,489
29 Lacs+"
Loans due to Individual / Entity,"Aaditi Dhikale
1,60,000  1 Lacs+

Charushila Khune
91,350  91 Thou+

Shekhar Dhhikale
23,57,944  23 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 26,09,294
26 Lacs+",
Any other Liability,"Vishal Petroliam
2,30,000  2 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 2,30,000
2 Lacs+",
Grand Total of Liabilities (as per affidavit),"58,22,783  58 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 58,22,783
58 Lacs+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 58,22,783
58 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 58,22,783
58 Lacs+",
