0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"State Bank of india Bhiwapur Business loan
20,00,000  20 Lacs+

Bank of india Bhiwapur Home loan
16,00,000  16 Lacs+

Bank of india Bhiwapur Business loan
36,00,000  36 Lacs+

Yuva Jagruti Bank Umred Personal Loan
8,00,000  8 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 80,00,000
80 Lacs+"
Loans due to Individual / Entity,"State Bank of india Bhiwapur Business loan
4,00,000  4 Lacs+

Bank of india Bhiwapur Home loan
13,98,785  13 Lacs+

Bank of india bhiwapur Business loan
37,70,587  37 Lacs+

Yuva jagruti Bank ,Umred Personal loan
5,30,000  5 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 60,99,372
60 Lacs+",
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"1,04,99,372  1 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 1,04,99,372
1 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 1,40,99,372
1 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 1,40,99,372
1 Crore+",
