0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Loan Against LIC Policy
1,34,81,828  1 Crore+

Personal Loan From G.S Majanagar Co-Op Bank Ltd. Laibaug Branch
1,97,48,558  1 Crore+

As Co Applicant to Laon Against Property with National Co-op Bank Nerul
4,69,35,021  4 Crore+","Agriculture SBI Loan
18,55,008  18 Lacs+",Nil,Nil,Nil,Nil,"Rs 8,20,20,415
8 Crore+"
Loans due to Individual / Entity,"Shraddha Energy and Infra Project Pvt. Ltd
1,40,00,000  1 Crore+

R.P Patil HUF Personal Loan
19,23,949  19 Lacs+","R.P Patil Personal Loan
31,68,948  31 Lacs+

R.P Patil HUF Personal Loan
3,20,000  3 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,94,12,897
1 Crore+",
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"9,60,89,356  9 Crore+","53,43,956  53 Lacs+",Nil,Nil,Nil,Nil,"Rs 10,14,33,312
10 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 9,60,89,356
9 Crore+","Rs 53,43,956
53 Lacs+",Nil,Nil,Nil,Nil,"Rs 10,14,33,312
10 Crore+",
