0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Saikrupa Patpeti Marya Vehicle Loan
1,29,475  1 Lacs+

Satara Sahkari Bank Lt Vehicle Loan
33,34,579  33 Lacs+

Kurla Nagrik Sahkari Bank Housing Loan
3,95,700  3 Lacs+

Deccan Merchant Sahkari Bank Ltd School Loan
44,16,134  44 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 82,75,888
82 Lacs+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any other Liability,"Shri Bahirav Enterprises
65,00,000  65 Lacs+

Shri T Enterprises
25,91,000  25 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 90,91,000
90 Lacs+",
Grand Total of Liabilities (as per affidavit),"1,73,66,888  1 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 1,73,66,888
1 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 1,73,66,888
1 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 1,73,66,888
1 Crore+",
