0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Union Bank Of India,Kasaba Wabada,Kolhapur
8,80,68,724  8 Crore+

HDFC Bank Ltd,Shahupuri,Kolhapur
1,29,12,462  1 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 10,09,81,186
10 Crore+"
Loans due to Individual / Entity,"Guansanti Agro Farmers
5,30,000  5 Lacs+

Vaijaynti Sanjay Patil
20,21,579  20 Lacs+

Shree Sanjay.D.Patil
4,82,87,783  4 Crore+

2,48,00,000  2 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 7,56,39,362
7 Crore+",
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"17,66,20,548  17 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 17,66,20,548
17 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 17,66,20,548
17 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 17,66,20,548
17 Crore+",
