0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"HOUSE LOAN VIDHARB PREMIUM BANK
1,50,000  1 Lacs+

CAR LOAN SHRI KRISHNA BANK
15,60,000  15 Lacs+","CAR LOAN SHRI KRISHNA BANK
10,05,000  10 Lacs+",Nil,Nil,Nil,Nil,"Rs 27,15,000
27 Lacs+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"17,10,000  17 Lacs+","1,05,000  1 Lacs+",Nil,Nil,Nil,Nil,"Rs 18,15,000
18 Lacs+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),0,0,Nil,Nil,Nil,Nil,Rs 0
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 17,10,000
17 Lacs+","Rs 10,05,000
10 Lacs+",Nil,Nil,Nil,Nil,"Rs 27,15,000
27 Lacs+",
