0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Loans due to Individual / Entity,"Ravsaheb DAnve
25,50,000  25 Lacs+

Mane Associate Pune
14,39,000  14 Lacs+

Ramesh Pande
5,00,000  5 Lacs+

Sachin Hapse
63,94,100  63 Lacs+

Deepak Deshmukh
5,50,000  5 Lacs+

Vaijinath Aakat
25,00,000  25 Lacs+","Prashant Bansode
35,01,000  35 Lacs+

Shantabai Aaher
10,00,000  10 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,84,34,100
1 Crore+",
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"1,39,33,100  1 Crore+","45,01,000  45 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,84,34,100
1 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 1,39,33,100
1 Crore+","Rs 45,01,000
45 Lacs+",Nil,Nil,Nil,Nil,"Rs 1,84,34,100
1 Crore+",
