0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"VKSS Chikamhud
2,24,000  2 Lacs+

Krushiseva Urban Co Op Bank Ltd
12,88,307  12 Lacs+","VKSS Chikamhud
1,52,000  1 Lacs+

Siddheshwar Bank
22,84,832  22 Lacs+

Varadlazmi Finance And Investment
6,72,042  6 Lacs+",Nil,Nil,Nil,Nil,"Rs 46,21,181
46 Lacs+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"15,12,307  15 Lacs+","31,08,874  31 Lacs+",Nil,Nil,Nil,Nil,"Rs 46,21,181
46 Lacs+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 15,12,307
15 Lacs+","Rs 31,08,874
31 Lacs+",Nil,Nil,Nil,Nil,"Rs 46,21,181
46 Lacs+",
