0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Dombivali Nagari Bank
4,69,512  4 Lacs+

Vijaya Bank
4,01,873  4 Lacs+","DHFL Home Loan
11,35,000  11 Lacs+

Thane District Sahakari Bank Personal Loan
22,314  22 Thou+",Nil,Nil,Nil,Nil,"Rs 20,28,699
20 Lacs+"
Loans due to Individual / Entity,"Crop Loan Jhari Adivasi Vikas Sahakari Crop Loan
2,50,000  2 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 2,50,000
2 Lacs+",
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"11,21,385  11 Lacs+","11,57,314  11 Lacs+",Nil,Nil,Nil,Nil,"Rs 22,78,699
22 Lacs+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 11,21,385
11 Lacs+","Rs 11,57,314
11 Lacs+",Nil,Nil,Nil,Nil,"Rs 22,78,699
22 Lacs+",
