0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"HDFC Bank
13,21,053  13 Lacs+

ICICI Bank
28,26,310  28 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 41,47,363
41 Lacs+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any other Liability,"1,30,06,969  1 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 1,30,06,969
1 Crore+",
Grand Total of Liabilities (as per affidavit),"1,71,54,332  1 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 1,71,54,332
1 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending","7,06,720  7 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 7,06,720
7 Lacs+"
Totals (Calculated as Sum of Values),"Rs 1,78,61,052
1 Crore+",Nil,Nil,Nil,Nil,Nil,"Rs 1,78,61,052
1 Crore+",
