0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"SBI Chalisgaon Br
4,57,409  4 Lacs+

LIC Loan
2,58,971  2 Lacs+","SBI Chalisgaon
2,70,000  2 Lacs+",Nil,"Lokvikas sah bank Aurangabad
26,85,000  26 Lacs+

Karnataka Bank Aurangabad
6,19,000  6 Lacs+

HDFC Bank Chalisgaon
4,15,000  4 Lacs+",Nil,Nil,"Rs 47,05,380
47 Lacs+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"7,16,380  7 Lacs+","2,70,000  2 Lacs+",Nil,"37,19,000  37 Lacs+",Nil,Nil,"Rs 47,05,380
47 Lacs+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 7,16,380
7 Lacs+","Rs 2,70,000
2 Lacs+",Nil,"Rs 37,19,000
37 Lacs+",Nil,Nil,"Rs 47,05,380
47 Lacs+",
