0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Saraswat Co-Op. Bank Ltd.,Kankavali Term Loan
37,53,439  37 Lacs+

Sarswat Co-Op Bank Ltd.,Kankavali Home Loan
6,71,072  6 Lacs+

Yuvak Kalyan Gramin Non Agricultural Bank Term Loan
9,00,059  9 Lacs+","Saraswat Co-Op Bank Ltd. Kankavali Term Loan
7,42,747  7 Lacs+

Saraswat Co-Op Bank Ltd ,Kankvali Term Loan
4,90,204  4 Lacs+","Yuvak Kalyan Gramin Non Agricultural Co-Op.Bank Term Loan
1,00,000  1 Lacs+

Yuvak Kalyan Gramin Non Agricultural Co-Op.Bank Term Loan
5,00,000  5 Lacs+

Yuvak Kalyan Gramin Non Agricultural Co-Op.Bank Term Loan
9,00,000  9 Lacs+

Yuvak Kalyan Gramin Non Agricultural Co-Op.Bank Term Loan
9,00,000  9 Lacs+",Nil,Nil,Nil,"Rs 89,57,521
89 Lacs+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"53,24,570  53 Lacs+","12,32,951  12 Lacs+","24,00,000  24 Lacs+",Nil,Nil,Nil,"Rs 89,57,521
89 Lacs+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 53,24,570
53 Lacs+","Rs 12,32,951
12 Lacs+","Rs 24,00,000
24 Lacs+",Nil,Nil,Nil,"Rs 89,57,521
89 Lacs+",
