0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"S G M Bank
17,38,059  17 Lacs+

Bharti Bank
4,22,406  4 Lacs+

S S Suslad
10,294  10 Thou+

Bharti Bank
4,15,046  4 Lacs+

Bharti Bank
3,50,058  3 Lacs+","SBI
2,87,361  2 Lacs+

Bharti Bank
3,65,561  3 Lacs+",Nil,Nil,Nil,Nil,"Rs 35,88,785
35 Lacs+"
Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"29,35,863  29 Lacs+","6,52,922  6 Lacs+",Nil,Nil,Nil,Nil,"Rs 35,88,785
35 Lacs+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 29,35,863
29 Lacs+","Rs 6,52,922
6 Lacs+",Nil,Nil,Nil,Nil,"Rs 35,88,785
35 Lacs+",
