0,1,2,3,4,5,6,7,8
i,Loans from Banks / FIs,"Housing Loan, Syndicate Bank
95,63,000  95 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 95,63,000
95 Lacs+"
Loans due to Individual / Entity,"Naminath Trade Link
19,80,000  19 Lacs+

Parshwanth Trade Link
10,30,000  10 Lacs+

Pradhan Dealers Pvt. Ltd.
1,00,00,000  1 Crore+

Yashwant A Jadhav
39,29,552  39 Lacs+","Bhagira
2,50,000  2 Lacs+

Naminath Trade Link
19,90,000  19 Lacs+

Nikhil Enterprise
2,50,000  2 Lacs+

Satyam Corporation
25,00,000  25 Lacs+",Nil,Nil,Nil,Nil,"Rs 2,19,29,552
2 Crore+",
Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Grand Total of Liabilities (as per affidavit),"2,65,02,552  2 Crore+","49,90,000  49 Lacs+",Nil,Nil,Nil,Nil,"Rs 3,14,92,552
3 Crore+",
ii,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,Nil
Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,Nil,
iii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Totals (Calculated as Sum of Values),"Rs 2,65,02,552
2 Crore+","Rs 49,90,000
49 Lacs+",Nil,Nil,Nil,Nil,"Rs 3,14,92,552
3 Crore+",
