SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans from Banks / FIs,"SBI Personal Loan
1,62,000  1 Lacs+","Seva Sah Society Lohgaon
59,000  59 Thou+",Nil,Nil,Nil,Nil, 221000
ii,Loans due to Individual / Entity,"Seva Sah Society Lohgaon
1,33,000  1 Lacs+",Nil,Nil,Nil,Nil,Nil, 133000
iii,Any other Liability,"Sah Patsanstha Daryapur
1,31,000  1 Lacs+",Nil,Nil,Nil,Nil,Nil, 131000
iv,Grand Total of Liabilities (as per affidavit),"4,26,000  4 Lacs+","59,000  59 Thou+",Nil,Nil,Nil,Nil, 485000
v,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xix,Totals (Calculated as Sum of Values),"Rs 4,26,000
4 Lacs+","Rs 59,000
59 Thou+",Nil,Nil,Nil,Nil, 485000
