SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans from Banks / FIs,"Bank of Maharashtra Chiplun
6,90,425  6 Lacs+

Sharda Kat Industries
33,75,000  33 Lacs+

Joint Loan From Bank of Maharashtra
1,62,43,053  1 Crore+",Nil,Nil,Nil,Nil,Nil, 20308478
ii,Loans due to Individual / Entity,"Loan on Land
2,39,24,922  2 Crore+","Loan on Land
72,33,750  72 Lacs+",Nil,Nil,Nil,Nil, 31158672
iii,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,0
iv,Grand Total of Liabilities (as per affidavit),"4,42,33,400  4 Crore+","72,33,750  72 Lacs+",Nil,Nil,Nil,Nil, 51467150
v,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xix,Totals (Calculated as Sum of Values),"Rs 4,42,33,400
4 Crore+","Rs 72,33,750
72 Lacs+",Nil,Nil,Nil,Nil, 51467150
