SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans from Banks / FIs,"Toyota Financial Services Vehicle Loan NNGP1089059
1,12,360  1 Lacs+","G R Bhangdiya HUF
31,50,000  31 Lacs+

Mahendra Construction MG
10,00,000  10 Lacs+

Mitesh Bhangdiya
22,30,530  22 Lacs+

Arti Bhangdiya
30,34,129  30 Lacs+

MKS Acme Build Pvt Ltd
70,00,000  70 Lacs+

Mahendra Petroleum Servo Point
2,500  2 Thou+

Dipak Mohta
25,00,000  25 Lacs+",Nil,Nil,Nil,Nil, 19029519
ii,Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,0
iii,Any other Liability,"Global MRI
6,90,000  6 Lacs+

Darshan Developers Pvt Ltd
16,00,00,000  16 Crore+","Aparna Infra Energy India Pvt Ltd
1,00,00,000  1 Crore+",Nil,Nil,Nil,Nil, 170690000
iv,Grand Total of Liabilities (as per affidavit),"16,08,02,360  16 Crore+","2,89,17,159  2 Crore+",Nil,Nil,Nil,Nil, 189719519
v,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xix,Totals (Calculated as Sum of Values),"Rs 16,08,02,360
16 Crore+","Rs 2,89,17,159
2 Crore+",Nil,Nil,Nil,Nil, 189719519
