SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans from Banks / FIs,"V K S Society Devgaon
1,50,585  1 Lacs+

Mahindra Finance Vehicle Loan
16,50,000  16 Lacs+

V K S Ambapimpri
25,000  25 Thou+","Devgaon V K S
68,726  68 Thou+

Parola V K S
93,660  93 Thou+

Jalgaon District Bank Parola
18,00,000  18 Lacs+",Nil,"V K S Devgaon
85,212  85 Thou+

State Bank Of India MIDC
20,00,456  20 Lacs+

Auto Loan ICICI
45,00,000  45 Lacs+

Javkhede Society
44,940  44 Thou+",Nil,Nil, 10418579
ii,Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,0
iii,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,0
iv,Grand Total of Liabilities (as per affidavit),"18,25,585  18 Lacs+","19,62,386  19 Lacs+",Nil,"66,30,608  66 Lacs+",Nil,Nil, 10418579
v,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xix,Totals (Calculated as Sum of Values),"Rs 18,25,585
18 Lacs+","Rs 19,62,386
19 Lacs+",Nil,"Rs 66,30,608
66 Lacs+",Nil,Nil, 10418579
