SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans from Banks / FIs,"DHFL Business loan
1,88,99,650  1 Crore+

Godawari urban co op society
62,41,489  62 Lacs+

Godawari urban bank
59,92,167  59 Lacs+

Lahud vividh sahkari vikas seva sanstha
15,40,000  15 Lacs+","Lahud karyakari sahkari vikas
8,35,000  8 Lacs+

Term deposit
13,90,000  13 Lacs+",Nil,Nil,Nil,Nil, 34898306
ii,Loans due to Individual / Entity,"Sayaji manglu borse
1,50,000  1 Lacs+",Nil,Nil,Nil,Nil,Nil, 150000
iii,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,0
iv,Grand Total of Liabilities (as per affidavit),"3,28,23,306  3 Crore+","22,25,000  22 Lacs+",Nil,Nil,Nil,Nil, 35048306
v,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xix,Totals (Calculated as Sum of Values),"Rs 3,28,23,306
3 Crore+","Rs 22,25,000
22 Lacs+",Nil,Nil,Nil,Nil, 35048306
