SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans from Banks / FIs,"SBI SAMRUDDHA RESOURCES
17,50,00,000  17 Crore+

CANARA BANK TECH SUTE IND
5,50,00,000  5 Crore+

SBI WORLI TECHSUIT IND
1,90,00,000  1 Crore+

CANARA BANK SAMRUDDHA FOODS
2,04,00,000  2 Crore+

CANARA BANK SAMRUDDHA FOODS
45,00,000  45 Lacs+

COSMOS BANK JAWAHAR EDU
2,80,00,000  2 Crore+

SARASWAT COOP BANK JAWAHAR EDU SOC
8,50,00,000  8 Crore+","DHULE VIKAS BANK CC A/C
50,00,000  50 Lacs+",Nil,Nil,Nil,Nil, 391900000
ii,Loans due to Individual / Entity,"VIJAY DEVRE
5,55,000  5 Lacs+

SANDEEP DEVRE
5,55,000  5 Lacs+

SAMRUDDHA RESOURCES
95,34,500  95 Lacs+

FHZ OVERSEAS
25,00,000  25 Lacs+

KALAHASTI DEVELOP FARMING
10,50,000  10 Lacs+",Nil,Nil,Nil,Nil,Nil, 14194500
iii,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,0
iv,Grand Total of Liabilities (as per affidavit),"38,74,79,000  38 Crore+","50,00,000  50 Lacs+",Nil,Nil,Nil,Nil, 392479000
v,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xix,Totals (Calculated as Sum of Values),"Rs 40,10,94,500
40 Crore+","Rs 50,00,000
50 Lacs+",Nil,Nil,Nil,Nil, 406094500
