SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans from Banks / FIs,"HDFC BANK
50,00,000  50 Lacs+

DHFL BANK
51,00,000  51 Lacs+

SARVODAYA BANK
60,00,000  60 Lacs+","Sarvodaya bank
60,00,000  60 Lacs+

SBI bank
21,00,000  21 Lacs+",Nil,Nil,Nil,Nil, 24200000
ii,Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,0
iii,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,0
iv,Grand Total of Liabilities (as per affidavit),"1,61,00,000  1 Crore+","81,00,000  81 Lacs+",Nil,Nil,Nil,Nil, 24200000
v,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Income Tax Dues,"24,37,182  24 Lacs+","3,70,000  3 Lacs+",Nil,Nil,Nil,Nil, 2807182
xi,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Service Tax Dues,Nil,"4,21,418  4 Lacs+",Nil,Nil,Nil,Nil, 421418
xiii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,Grand Total of all Govt Dues (as per affidavit),"24,37,182  24 Lacs+","7,91,418  7 Lacs+",Nil,Nil,Nil,Nil, 3228600
xviii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xix,Totals (Calculated as Sum of Values),"Rs 1,85,37,182
1 Crore+","Rs 88,91,418
88 Lacs+",Nil,Nil,Nil,Nil, 27428600
