SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans from Banks / FIs,"PDCC Bank
2,64,435  2 Lacs+

PDCC Bank
40,800  40 Thou+

PDCC Bank
20,400  20 Thou+

Bank Loan Commercial
63,00,000  63 Lacs+

LIC Housing Finance
1,45,00,000  1 Crore+",Nil,Nil,"Meghna Sakore
50,000  50 Thou+","Meghna Sakore
50,000  50 Thou+",Nil, 21225635
ii,Loans due to Individual / Entity,"Unsecured Loan
94,14,711  94 Lacs+",Nil,Nil,Nil,Nil,Nil, 9414711
iii,Any other Liability,"Other Loan
1,28,59,662  1 Crore+",Nil,Nil,Nil,Nil,Nil, 12859662
iv,Grand Total of Liabilities (as per affidavit),"4,34,00,008.56  4 Crore+",Nil,Nil,"50,000  50 Thou+","50,000  50 Thou+",Nil, 43500008.56
v,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xix,Totals (Calculated as Sum of Values),"Rs 4,34,00,008
4 Crore+",Nil,Nil,"Rs 50,000
50 Thou+","Rs 50,000
50 Thou+",Nil, 43500008
