SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans from Banks / FIs,"Auspice Trading Pvt Ltd
2,53,53,092  2 Crore+

IDO Real Esttae LLp
10,00,000  10 Lacs+

Maitreya Trading LLP
80,52,000  80 Lacs+

Shobha Infrastructure Pvt Ltd
8,65,000  8 Lacs+

Kaalkaa Real Estates Pvt Ltd
1,10,41,776  1 Crore+

Neelam N Rane
52,36,145  52 Lacs+

Rutuja Nitesh Rane
64,19,101  64 Lacs+

Nilesh N Rane
22,50,000  22 Lacs+","Neelam Rane
1,00,000  1 Lacs+

Kanta Rane
1,17,000  1 Lacs+",Nil,Nil,Nil,Nil, 60434114
ii,Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,0
iii,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,0
iv,Grand Total of Liabilities (as per affidavit),"6,02,17,114  6 Crore+","2,17,000  2 Lacs+",Nil,Nil,Nil,Nil, 60434114
v,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending","29,42,459  29 Lacs+",Nil,Nil,Nil,Nil,Nil, 2942459
xix,Totals (Calculated as Sum of Values),"Rs 6,31,59,573
6 Crore+","Rs 2,17,000
2 Lacs+",Nil,Nil,Nil,Nil, 63376573
