SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans from Banks / FIs,"Sbi Sategaon Agri Loan
5,95,200  5 Lacs+

BOM Banosa Car loan
2,47,476  2 Lacs+",Nil,Nil,Nil,Nil,Nil, 842676
ii,Loans due to Individual / Entity,"VEE PEE Cotex Corporation Daryapur Central Bank Loan 40% Partnership
5,00,00,000  5 Crore+

VEE PEE Cotex Corporation Daryapur Central Bank Loan CC A/c 3499598260 40% Partnership
2,75,00,000  2 Crore+",Nil,Nil,"VEE PEE Cotex Corporation Daryapur Central Bank Loan 60% Partnership
5,00,00,000  5 Crore+

VEE PEE Cotex Corporation Daryapur Central Bank Loan CC A/c 3499598260 40% Partnership
2,75,00,000  2 Crore+",Nil,Nil, 155000000
iii,Any other Liability,"7,00,000  7 Lacs+",Nil,Nil,Nil,Nil,Nil, 700000
iv,Grand Total of Liabilities (as per affidavit),"15,42,676  15 Lacs+",Nil,Nil,Nil,Nil,Nil, 1542676
v,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Income Tax Dues,"year 2018-19
3,67,630  3 Lacs+",Nil,Nil,Nil,Nil,Nil, 367630
xi,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xix,Totals (Calculated as Sum of Values),"Rs 7,94,10,306
7 Crore+",Nil,Nil,"Rs 7,75,00,000
7 Crore+",Nil,Nil, 156910306
