SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans from Banks / FIs,Nil,Nil,Nil,Nil,Nil,Nil,0
ii,Loans due to Individual / Entity,"Atiya Rais Shaikh
90,556  90 Thou+

Arif Shamshi
7,00,000  7 Lacs+

Biquis Shujat Ali Khan
4,00,000  4 Lacs+

Ketan Arun Kadam
30,00,000  30 Lacs+

Pearl Passion Impex
40,00,000  40 Lacs+

Saleem I Motorwala
5,00,000  5 Lacs+

Shahana Khan
4,00,000  4 Lacs+

Tabrez Shafi Ahmed Shaikh
1,97,00,000  1 Crore+

Unique Fourtune Enterprises
25,00,000  25 Lacs+

Steelex
30,00,000  30 Lacs+",Nil,Nil,Nil,Nil,Nil, 34290556
iii,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,0
iv,Grand Total of Liabilities (as per affidavit),"3,42,90,556  3 Crore+",Nil,Nil,Nil,Nil,Nil, 34290556
v,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xix,Totals (Calculated as Sum of Values),"Rs 3,42,90,556
3 Crore+",Nil,Nil,Nil,Nil,Nil, 34290556
