SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans from Banks / FIs,"BOM Home Loan
10,44,845  10 Lacs+

BOM Crop Loan
11,49,766  11 Lacs+

BOM Drip Loan
3,30,961  3 Lacs+

BOM Pipe Line Loan
13,29,449  13 Lacs+

Jaywant Multistate Co Op Bank Gold Loan
4,88,888  4 Lacs+

Shivshakti Urban Co Op Bank Property Loan
27,03,627  27 Lacs+

Shivshakti Urban Co Op Bank Cash Credit Loan
69,74,973  69 Lacs+

The Pandharpur Urban Co Op Bank Property Loan
5,00,00,000  5 Crore+

BOI Vehicle Loan
15,57,780  15 Lacs+

The Baramati Sah Bank
85,91,254  85 Lacs+","Shivshakti Urban Co Op Bank Property Loan
1,24,92,067  1 Crore+",Nil,Nil,Nil,Nil, 86663610
ii,Loans due to Individual / Entity,"Laxmi Dairy Production
6,49,999  6 Lacs+

Abhijit Raut
11,17,833  11 Lacs+

Harshad Katkar
8,60,000  8 Lacs+

Sanjay Raut
64,67,333  64 Lacs+

Kavita Raur
2,40,67,300  2 Crore+

Amitkumar Khatod
1,52,000  1 Lacs+

Vijay Raut
1,01,53,464  1 Crore+

Laxmi Pashukhadya Kendra
73,15,000  73 Lacs+",Nil,Nil,Nil,Nil,Nil, 50782929
iii,Any other Liability,"Laxmi Pashukhadya
49,92,313  49 Lacs+

Kiran Gaikwad
48,00,000  48 Lacs+

Kiran More
5,67,000  5 Lacs+

Sachin Madke
9,68,593  9 Lacs+

Laxmi Dairy Production
90,77,673  90 Lacs+

Bhartesh Gandhi
14,00,000  14 Lacs+","Laxmi Dairy Production
13,70,000  13 Lacs+

Laxmi Pashukhadya
10,00,000  10 Lacs+

Ranvir Raut
6,25,000  6 Lacs+

Vijay Raut
10,87,500  10 Lacs+",Nil,Nil,Nil,Nil, 25888079
iv,Grand Total of Liabilities (as per affidavit),"14,67,60,051  14 Crore+","1,65,74,567  1 Crore+",Nil,Nil,Nil,Nil, 163334618
v,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xix,Totals (Calculated as Sum of Values),"Rs 14,67,60,051
14 Crore+","Rs 1,65,74,567
1 Crore+",Nil,Nil,Nil,Nil, 163334618
