SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans from Banks / FIs,"Syndicate bank Home loan
4,66,538  4 Lacs+

ICICI Bank
16,55,698  16 Lacs+","Syndicate bank Home loan
2,64,108  2 Lacs+

ICICI Bank
16,55,698  16 Lacs+",Nil,Nil,Nil,Nil, 4042042
ii,Loans due to Individual / Entity,"Harishchandra Jogal
1,00,000  1 Lacs+

Pramod Korgaonkar
4,15,000  4 Lacs+

Shrikant Chavan
1,50,000  1 Lacs+

Chandrakant Mhaske
2,00,000  2 Lacs+

Sudhanshu Infra
10,00,000  10 Lacs+

Vishranti korgankar
8,54,011  8 Lacs+

Yogesh Karmalkar
37,973  37 Thou+","Anand Upadhyay
19,000  19 Thou+

Ankit singh
17,000  17 Thou+

Arun Singh
19,500  19 Thou+

Bhupendra Lad
19,000  19 Thou+

jayashree Surve
1,00,000  1 Lacs+

Mahendra Khanvilkar
10,000  10 Thou+

Naresh Nalawade
10,000  10 Thou+

Prakash Gade
10,000  10 Thou+

Ramesh surve
1,00,000  1 Lacs+

Deepak Sawant
10,000  10 Thou+

Rajesh Chavan
10,000  10 Thou+

Yogesh karmalkar
23,748  23 Thou+

Santosh Tawade
10,000  10 Thou+

Santosh Angne
10,000  10 Thou+

Sandeep Yadav
10,000  10 Thou+

Rajesh Parab
10,000  10 Thou+

sai enterprises
1,50,000  1 Lacs+

Shekhar Sawant
10,000  10 Thou+",Nil,Nil,Nil,Nil, 3305232
iii,Any other Liability,"Ashtavinayak Bros
6,09,710  6 Lacs+","Ashtavinaak Bros
5,23,085  5 Lacs+

Manish Singh
2,95,360  2 Lacs+

Satyavan walke
3,50,010  3 Lacs+

Yogesh Kalmalkar
7,73,057  7 Lacs+",Nil,Nil,Nil,Nil, 2551222
iv,Grand Total of Liabilities (as per affidavit),"54,88,930  54 Lacs+","44,09,566  44 Lacs+",Nil,Nil,Nil,Nil, 9898496
v,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xix,Totals (Calculated as Sum of Values),"Rs 54,88,930
54 Lacs+","Rs 44,09,566
44 Lacs+",Nil,Nil,Nil,Nil, 9898496
