SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans from Banks / FIs,"Pandharpur urbon Bank
1,12,88,468  1 Crore+

Punjab National Bank
1,32,56,538  1 Crore+

Pinavi Hausis
3,39,72,629  3 Crore+

punjab national bank kothrood
43,47,000  43 Lacs+

punjab bank
55,00,000  55 Lacs+

l.i.c odi
2,86,70,000  2 Crore+","NIMGAAV BANK
17,70,000  17 Lacs+

punjab national bank
50,00,000  50 Lacs+","NIMGAAV BANK
15,50,000  15 Lacs+","nimgaav bank
10,00,000  10 Lacs+

punjab bank
20,00,000  20 Lacs+","nimgaav bank
11,50,000  11 Lacs+",Nil, 109504635
ii,Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,0
iii,Any other Liability,"vitthal corporatyion
8,83,652  8 Lacs+

rajratn milk
3,05,000  3 Lacs+

yashwant motor
1,00,000  1 Lacs+

othere
2,18,00,000  2 Crore+","vitthal corporation
12,99,894  12 Lacs+

2,34,517  2 Lacs+","rajratn milk
6,20,000  6 Lacs+

forming centre
52,960  52 Thou+

vitthal corporation
5,98,439  5 Lacs+

1,33,451  1 Lacs+","vitthal corporation
25,70,719  25 Lacs+

1,400  1 Thou+","vitthal corporation
9,04,075  9 Lacs+

v g nailkwadi company
56,626  56 Thou+

51,880  51 Thou+",Nil, 29612613
iv,Grand Total of Liabilities (as per affidavit),"12,01,23,287  12 Crore+","83,04,411  83 Lacs+","29,54,850  29 Lacs+","55,72,119  55 Lacs+","21,70,581  21 Lacs+",Nil, 139125248
v,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xix,Totals (Calculated as Sum of Values),"Rs 12,01,23,287
12 Crore+","Rs 83,04,411
83 Lacs+","Rs 29,54,850
29 Lacs+","Rs 55,72,119
55 Lacs+","Rs 21,62,581
21 Lacs+",Nil, 139117248
