SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans due to Individual / Entity,"Mr.Deepak Pingale
5,00,000  5 Lacs+

Mr.Gopal Kulkarni
18,80,000  18 Lacs+

Mr.Navnath
3,00,000  3 Lacs+

Mr.Sudhakar Dandvate
30,00,000  30 Lacs+

Seema Kokate
40,83,255  40 Lacs+

Handloan
50,000  50 Thou+

V S Kokate
6,74,000  6 Lacs+","Mr.Gopal Kulkarni
15,00,000  15 Lacs+

Simantini Kokate
58,63,817  58 Lacs+

Dilip Pagere
15,86,000  15 Lacs+",Nil,"Vijay S. Kokate
8,50,000  8 Lacs+

Rajesh Bhosale
2,00,000  2 Lacs+

Manikrao Kokate
21,05,000  21 Lacs+

Gauri Trading Co.
3,99,592  3 Lacs+",Nil,Nil, 22991664
ii,Any other Liability,"Agaomst Purchase of Land Mr.Ramnath Lonare
21,50,000  21 Lacs+

Mr.Rajendra Chavanke
21,50,000  21 Lacs+","Mr.Ramnath Lonare
21,50,000  21 Lacs+

Mr.Rajendra Chavanke
21,50,000  21 Lacs+",Nil,Nil,Nil,Nil, 8600000
iii,Grand Total of Liabilities (as per affidavit),"1,64,98,328  1 Crore+","2,12,19,127  2 Crore+",Nil,"90,19,698  90 Lacs+",Nil,Nil, 46737153
iv,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,Totals (Calculated as Sum of Values),"Rs 1,63,35,055
1 Crore+","Rs 2,56,39,835
2 Crore+",Nil,"Rs 61,12,039
61 Lacs+",Nil,Nil, 48086929
