SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans due to Individual / Entity,"Ashish Shelar HUF
57,000  57 Thou+

Prasad Dalvi
3,00,000  3 Lacs+

Sandeep Dalvi
3,00,000  3 Lacs+

Tony luis
10,00,000  10 Lacs+

Vijayanand Bhate
30,00,000  30 Lacs+

Viraj Enterprises
7,38,000  7 Lacs+

CJK Associates
50,000  50 Thou+

Other Creditors
8,17,838  8 Lacs+","Ashish Shelar
67,01,000  67 Lacs+

CJK Associates
2,41,311  2 Lacs+

Alpha Foundation
22,50,000  22 Lacs+","1,52,500  1 Lacs+",Nil,Nil,Nil, 15607649
ii,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,0
iii,Grand Total of Liabilities (as per affidavit),"71,82,986  71 Lacs+","91,92,311  91 Lacs+","1,52,000  1 Lacs+",Nil,Nil,Nil, 16527297
iv,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,Totals (Calculated as Sum of Values),"Rs 71,82,986
71 Lacs+","Rs 91,92,311
91 Lacs+","Rs 1,52,500
1 Lacs+",Nil,Nil,Nil, 16527797
