SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans due to Individual / Entity,"Govind Jaysing Dhavle
10,50,000  10 Lacs+

Gyandev Jaysing Dhavle
7,50,000  7 Lacs+

Amrapali Ashok Pawar
13,00,000  13 Lacs+

Bhaskar Banaji Kulkarni
4,00,000  4 Lacs+

Dipa Engineering Works
5,00,000  5 Lacs+

Kalyani Developers
5,00,000  5 Lacs+

Kalyani Developers
5,00,000  5 Lacs+

Nitinkumar Jagtap
6,15,000  6 Lacs+

Sandip Tor
8,13,500  8 Lacs+

Aparna Bhaskar Kulkarni
3,70,000  3 Lacs+

Kishore Bhaskar Kulkarni
30,000  30 Thou+

Simadevi Nitinkumar Jagtap
1,00,000  1 Lacs+","Kedar Patil
4,77,500  4 Lacs+

Goutam Gelda
4,00,000  4 Lacs+

Kalyani Corporation
1,00,000  1 Lacs+

Kastura Dhavle
5,00,000  5 Lacs+

Ramesh Rathod
1,18,282  1 Lacs+

Sadhin Tor
21,50,000  21 Lacs+

Sairaj Petroleum
6,50,000  6 Lacs+

Swati Gelda
5,00,000  5 Lacs+

Viraj Tor
12,75,000  12 Lacs+

Sandip Tor
12,34,800  12 Lacs+",Nil,Nil,Nil,Nil, 14334082
ii,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,0
iii,Grand Total of Liabilities (as per affidavit),"1,16,56,413  1 Crore+","76,05,582  76 Lacs+",Nil,Nil,"13,18,456  13 Lacs+",Nil, 20580451
iv,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,Totals (Calculated as Sum of Values),"Rs 1,16,56,413
1 Crore+","Rs 76,05,582
76 Lacs+",Nil,Nil,"Rs 13,18,456
13 Lacs+",Nil, 20580451
