SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans due to Individual / Entity,"Amol Benke
15,65,000  15 Lacs+

Amit Benke
59,45,448  59 Lacs+

Rajshri Benke
1,29,77,000  1 Crore+

Ballabh Benke
30,17,500  30 Lacs+

Vijay Ghogre
5,00,000  5 Lacs+

Ajit Jagtap
1,45,708  1 Lacs+

Tushar Padwal
2,50,000  2 Lacs+

Marbel Psibilities
18,48,330  18 Lacs+

Sunil Chavan
14,01,068  14 Lacs+

Saishree Developers
91,67,768  91 Lacs+

Subhshree Unicon
8,53,458  8 Lacs+",Nil,Nil,Nil,Nil,Nil, 37671280
ii,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,0
iii,Grand Total of Liabilities (as per affidavit),"4,16,77,430  4 Crore+",Nil,Nil,Nil,Nil,Nil, 41677430
iv,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,Totals (Calculated as Sum of Values),"Rs 4,16,78,715
4 Crore+",Nil,Nil,Nil,Nil,Nil, 41678715
