SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans due to Individual / Entity,"Jayant Thorat
1,83,00,000  1 Crore+

Mirje Rakesh Ramesh
75,00,000  75 Lacs+

Shahnavaz Pathan
30,00,000  30 Lacs+

Vinay Paralikar
15,00,000  15 Lacs+

Heritage Vehicles Pvt Ltd
25,00,000  25 Lacs+

Jai Khodiyar Enterprises
56,54,100  56 Lacs+

Hylicon Enterprises
75,00,000  75 Lacs+

Creative Construction
75,00,000  75 Lacs+

Sky Whisper
2,00,000  2 Lacs+

Ruta Jitendra Awhad
2,79,00,000  2 Crore+",Nil,Nil,Nil,Nil,Nil, 81554100
ii,Any other Liability,"Borrowed From Indian Infra Solutions LLP
84,91,910  84 Lacs+",Nil,Nil,Nil,Nil,Nil, 8491910
iii,Grand Total of Liabilities (as per affidavit),"37,58,81,299  37 Crore+",Nil,Nil,Nil,Nil,Nil, 375881299
iv,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,Totals (Calculated as Sum of Values),"Rs 37,58,81,299
37 Crore+",Nil,Nil,Nil,Nil,Nil, 375881299
