SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans due to Individual / Entity,Nil,"Jitendra singh Jaysing Raval
32,32,678  32 Lacs+

jaykumar J Raval
3,50,000  3 Lacs+

Nayankuvar J raval
13,00,000  13 Lacs+",Nil,Nil,Nil,Nil, 4882678
ii,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,0
iii,Grand Total of Liabilities (as per affidavit),"7,59,000  7 Lacs+","48,82,678  48 Lacs+",Nil,Nil,Nil,Nil, 5641678
iv,Dues to departments dealing with government accommodation,"Ramtek Banglo Narayan Dabholkar road Malbar Hill ,Mumbai
0*(Value Not Given)",Nil,Nil,Nil,Nil,Nil, 0
v,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with telephones,"30-09-2019 Telephone Bills
0*(Value Not Given)",Nil,Nil,Nil,Nil,Nil, 0
viii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,Totals (Calculated as Sum of Values),"Rs 7,59,000
7 Lacs+","Rs 48,82,678
48 Lacs+",Nil,Nil,Nil,Nil, 5641678
