SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans due to Individual / Entity,"D M Koli
1,20,000  1 Lacs+

Abhay
17,00,000  17 Lacs+

Maurya Developers
20,00,000  20 Lacs+

Swami Vivekanand S P Mandal
14,94,610  14 Lacs+","Sunil Kamble
25,00,000  25 Lacs+",Nil,Nil,Nil,Nil, 7814610
ii,Any other Liability,"Professional giveaways
4,43,400  4 Lacs+

Property purchase liabilities
20,22,000  20 Lacs+","Professional giveaways
64,500  64 Thou+",Nil,Nil,Nil,Nil, 2529900
iii,Grand Total of Liabilities (as per affidavit),"93,07,909  93 Lacs+","25,64,500  25 Lacs+",Nil,Nil,Nil,Nil, 11872409
iv,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,Totals (Calculated as Sum of Values),"Rs 93,07,909
93 Lacs+","Rs 25,64,500
25 Lacs+",Nil,Nil,Nil,Nil, 11872409
