SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans due to Individual / Entity,"SHRI BHARAT YADAV PERSONAL LOAN
13,00,000  13 Lacs+

SHRI CHANDRANKAT KHOPDE
1,00,000  1 Lacs+

SHRI KRISHNA PADOLE
5,00,000  5 Lacs+

MANOHAR GOHAR
10,50,000  10 Lacs+

MRUNAL GOLHAR
4,50,000  4 Lacs+

DIGAMBAR NARAD
5,00,000  5 Lacs+

SANDEEP NARAD
10,00,000  10 Lacs+

DASHRATH KUBDE
20,00,000  20 Lacs+

RAJU KHOPDE
7,00,000  7 Lacs+

Leena Khopde
1,10,000  1 Lacs+

Girnar Urban Credit Co-op Soc -Land Adv
1,50,00,000  1 Crore+

e Sant Sai Tai Gruh Nirman Sanlha
15,00,000  15 Lacs+","RAJU KHOPDE
4,36,750  4 Lacs+

Krushna Khope
62,06,309  62 Lacs+

Eshant Shahu
10,00,000  10 Lacs+

Deposit Gimar U.ban cr Soc Ltd
2,00,000  2 Lacs+

Amount Payable for Land Purchase
53,00,000  53 Lacs+","Flat Booking Advance
31,20,000  31 Lacs+

Rent Deposit
10,000  10 Thou+",Nil,Nil,Nil, 40483059
ii,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,0
iii,Grand Total of Liabilities (as per affidavit),"2,42,35,667  2 Crore+","1,31,43,059  1 Crore+","31,30,000  31 Lacs+",Nil,Nil,Nil, 40508726
iv,Dues to departments dealing with government accommodation,"MANORA AAMDAR NIVAS MUMBAI BUILIDING ""D"" R NO 105 AND 46
0*(Value Not Given)  

AKASHWANI AAMDAR NIVAS MUMBAI R NO 616
0*(Value Not Given)",Nil,Nil,Nil,Nil,Nil, 0
v,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,Totals (Calculated as Sum of Values),"Rs 2,42,35,667
2 Crore+","Rs 1,31,43,059
1 Crore+","Rs 31,30,000
31 Lacs+",Nil,Nil,Nil, 40508726
