SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,0
ii,Any other Liability,"60,06,75,757  60 Crore+","2,99,34,313  2 Crore+",Nil,Nil,Nil,Nil, 630610070
iii,Grand Total of Liabilities (as per affidavit),"2,00,38,37,491  200 Crore+","82,98,60,708  82 Crore+",Nil,Nil,Nil,Nil, 2833698199
iv,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending","Income Tax Demand Rs 14967783/- Pedning before Commissioner of Income Tax(Appeals)
1,49,67,783  1 Crore+","Income Tax Demand Rs 1704348/- Pedning before Commissioner of Income Tax(Appeals)
17,04,348  17 Lacs+",Nil,Nil,Nil,Nil, 16672131
xviii,Totals (Calculated as Sum of Values),"Rs 2,01,88,05,274
201 Crore+","Rs 83,15,65,056
83 Crore+",Nil,Nil,Nil,Nil, 2850370330
