SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans due to Individual / Entity,"partnership Loan Vihang City Developers
4,37,070  4 Lacs+

Vihang Constraction And Hospiliti L.L.P.
83,44,51,160  83 Crore+

Vihang Enterprises
3,14,63,700  3 Crore+

V.N.Enterprises
21,20,900  21 Lacs+

Individual Loan- Netra ajit Vijaykar
10,00,00,000  10 Crore+

Dela Enclev Pvt.Ltd
75,00,000  75 Lacs+

Purvesh surnaik
1,11,27,660  1 Crore+

Aastha Spaces L.L.P.
4,26,820  4 Lacs+

Yogesh Chandegala
10,00,560  10 Lacs+

Unic Shanti Rialaters
32,35,000  32 Lacs+

Jayesh Maru
35,00,000  35 Lacs+

Jayvant Vaiti
2,80,00,000  2 Crore+

Priyal Avi Enterprises
10,00,000  10 Lacs+

Depostis Amount- Prashant Corner,Thane
15,00,000  15 Lacs+

Jubiliyant Food Ltd
30,00,000  30 Lacs+","Personal Loan- Purvesh surnaik
31,25,000  31 Lacs+

Vihang Enterprises
45,000  45 Thou+

Yogesh Chandegala
43,280  43 Thou+

Pratap Surnaik
46,37,612  46 Lacs+

V.N.Developers
8,58,400  8 Lacs+

V.N.Enterprises
55,99,800  55 Lacs+

Ashok Hapani
1,16,00,000  1 Crore+

Paternership Loan- Vihang Constraction And Hospital L.L.P.
2,36,66,050  2 Crore+",Nil,Nil,Nil,Nil, 1078338012
ii,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,0
iii,Grand Total of Liabilities (as per affidavit),"1,10,96,58,168  110 Crore+","6,12,17,638  6 Crore+",Nil,Nil,Nil,Nil, 1170875806
iv,Dues to departments dealing with government accommodation,"Manora aamdar Niwas, Part No. D-165
0*(Value Not Given)",Nil,Nil,Nil,Nil,Nil, 0
v,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,"Income Tax Bhawan- Economicic Years-2010-11 (Income Tax Officer,Thane)
43,18,720  43 Lacs+",Nil,Nil,Nil,Nil, 4318720
xviii,Totals (Calculated as Sum of Values),"Rs 1,10,96,58,168
110 Crore+","Rs 6,55,36,358
6 Crore+",Nil,Nil,Nil,Nil, 1175194526
