SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans due to Individual / Entity,"Sai Inn
45,78,652  45 Lacs+

Sudha Suresh Narwekar
35,03,847  35 Lacs+

Ashwin Narwekar
2,33,73,000  2 Crore+

Altaf Wahedna
6,40,00,000  6 Crore+

Intime Brokers & Securities
4,31,50,000  4 Crore+

Saurabh Zaveri
24,00,000  24 Lacs+

Wiz Corporation
49,50,000  49 Lacs+

Pandurang Naik
8,00,000  8 Lacs+",Nil,Nil,Nil,Nil,Nil, 146755499
ii,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,0
iii,Grand Total of Liabilities (as per affidavit),"20,04,10,212  20 Crore+",Nil,Nil,Nil,Nil,Nil, 200410212
iv,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,Totals (Calculated as Sum of Values),"Rs 20,04,10,212
20 Crore+",Nil,Nil,Nil,Nil,Nil, 200410212
