SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans due to Individual / Entity,"Indivudual Loan From Anshuman Developers
13,00,000  13 Lacs+

Indivudual Loan From Harmony Investment And Properties
12,00,000  12 Lacs+

Individual Loan From Shubh Enterprisers
5,00,000  5 Lacs+

Individual Loan From Starwing Developers
4,00,000  4 Lacs+

Individual Loan From Varad Vinayak Prv.Ltd.
20,14,000  20 Lacs+

Individual Loan From Rajiv Dube
1,00,000  1 Lacs+

Individual Loan From Vikas Balkrushna Gavli
1,00,000  1 Lacs+

Individual Loan From Niranjan Shah
5,00,000  5 Lacs+

Individual Loan From Dinesh Goyal
1,50,000  1 Lacs+

Individual Loan From Mansi Sakpal
5,53,000  5 Lacs+",Nil,Nil,Nil,Nil,Nil, 6817000
ii,Any other Liability,"Sai Shraddha Creation Printing And Press
84,566  84 Thou+",Nil,Nil,Nil,Nil,Nil, 84566
iii,Grand Total of Liabilities (as per affidavit),"1,15,59,844  1 Crore+","18,80,827  18 Lacs+",Nil,Nil,Nil,Nil, 13440671
iv,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,Totals (Calculated as Sum of Values),"Rs 1,15,59,844
1 Crore+","Rs 18,80,827
18 Lacs+",Nil,Nil,Nil,Nil, 13440671
