SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans due to Individual / Entity,"M/s Future Sales & Services
2,40,000  2 Lacs+

R.P. Sawarkar -HUF
6,11,028  6 Lacs+

Manjusha R.Sawarkar
1,60,61,000  1 Crore+

Pralhadraoji Sawarkar
1,31,63,500  1 Crore+

Kastkar Krushi Sewa Kendra
1,12,602  1 Lacs+

Unanti Nagar
36,69,463  36 Lacs+

Next Shoppee
84,72,339  84 Lacs+

Avinash Madhavrao Kulat
81,73,991  81 Lacs+

Pundlik Sakharamji Nimkande
76,64,166  76 Lacs+

Sudhir Nanaji Lakhdive-HUF
20,00,000  20 Lacs+

Vidarbha Publication-Plot adv
6,37,000  6 Lacs+

Advance received for purchases in Next Shopee
1,00,00,000  1 Crore+","Next Info
7,65,573  7 Lacs+",Nil,Nil,Nil,Nil, 71570662
ii,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,0
iii,Grand Total of Liabilities (as per affidavit),"8,62,11,097  8 Crore+","8,30,314  8 Lacs+",Nil,Nil,Nil,Nil, 87041411
iv,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,Totals (Calculated as Sum of Values),"Rs 8,62,11,097
8 Crore+","Rs 8,30,314
8 Lacs+",Nil,Nil,Nil,Nil, 87041411
