SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans due to Individual / Entity,Nil,Nil,Nil,Nil,Nil,Nil,0
ii,Any other Liability,"vitthal corporatyion
8,83,652  8 Lacs+

rajratn milk
3,05,000  3 Lacs+

yashwant motor
1,00,000  1 Lacs+

othere
2,18,00,000  2 Crore+","vitthal corporation
12,99,894  12 Lacs+

2,34,517  2 Lacs+","rajratn milk
6,20,000  6 Lacs+

forming centre
52,960  52 Thou+

vitthal corporation
5,98,439  5 Lacs+

1,33,451  1 Lacs+","vitthal corporation
25,70,719  25 Lacs+

1,400  1 Thou+","vitthal corporation
9,04,075  9 Lacs+

v g nailkwadi company
56,626  56 Thou+

51,880  51 Thou+",Nil, 29612613
iii,Grand Total of Liabilities (as per affidavit),"12,01,23,287  12 Crore+","83,04,411  83 Lacs+","29,54,850  29 Lacs+","55,72,119  55 Lacs+","21,70,581  21 Lacs+",Nil, 139125248
iv,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,Totals (Calculated as Sum of Values),"Rs 12,01,23,287
12 Crore+","Rs 83,04,411
83 Lacs+","Rs 29,54,850
29 Lacs+","Rs 55,72,119
55 Lacs+","Rs 21,62,581
21 Lacs+",Nil, 139117248
