SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans due to Individual / Entity,"Naminath Trade Link
19,80,000  19 Lacs+

Parshwanth Trade Link
10,30,000  10 Lacs+

Pradhan Dealers Pvt. Ltd.
1,00,00,000  1 Crore+

Yashwant A Jadhav
39,29,552  39 Lacs+","Bhagira
2,50,000  2 Lacs+

Naminath Trade Link
19,90,000  19 Lacs+

Nikhil Enterprise
2,50,000  2 Lacs+

Satyam Corporation
25,00,000  25 Lacs+",Nil,Nil,Nil,Nil, 21929552
ii,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,0
iii,Grand Total of Liabilities (as per affidavit),"2,65,02,552  2 Crore+","49,90,000  49 Lacs+",Nil,Nil,Nil,Nil, 31492552
iv,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,Totals (Calculated as Sum of Values),"Rs 2,65,02,552
2 Crore+","Rs 49,90,000
49 Lacs+",Nil,Nil,Nil,Nil, 31492552
