SrNo,Description,Self,Spouse,HUF,Dependent1,Dependent2,Dependent3,TotalPrice
i,Loans due to Individual / Entity,"Mr Sohil Sagar
24,43,792  24 Lacs+

Mrs Shobhana Sagar
65,000  65 Thou+

To Bhoomi Celestia Builders
4,85,000  4 Lacs+

Inventure Growth & Security Ltd
740  7 Hund+","Mr Sohil Sagar
20,000  20 Thou+

Mr Vaibhav Sagar
12,40,853  12 Lacs+

To Bhoomi Celestia Builders
72,60,000  72 Lacs+

nventure Growth & Security Ltd
1,832  1 Thou+

Shobhav Infraproject LLP
31,331  31 Thou+",Nil,Nil,Nil,Nil, 11548548
ii,Any other Liability,Nil,Nil,Nil,Nil,Nil,Nil,0
iii,Grand Total of Liabilities (as per affidavit),"92,20,467  92 Lacs+","1,59,31,141  1 Crore+",Nil,Nil,Nil,Nil, 25151608
iv,Dues to departments dealing with government accommodation,Nil,Nil,Nil,Nil,Nil,Nil,0
v,Dues to departments dealing with supply of water,Nil,Nil,Nil,Nil,Nil,Nil,0
vi,Dues to departments dealing with supply of electricity,Nil,Nil,Nil,Nil,Nil,Nil,0
vii,Dues to departments dealing with telephones,Nil,Nil,Nil,Nil,Nil,Nil,0
viii,Dues to departments dealing with supply of transport,Nil,Nil,Nil,Nil,Nil,Nil,0
ix,Income Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
x,Wealth Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xi,Service Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xii,Property Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiii,Sales Tax Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xiv,GST Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xv,Any Other Dues,Nil,Nil,Nil,Nil,Nil,Nil,0
xvi,Grand Total of all Govt Dues (as per affidavit),Nil,Nil,Nil,Nil,Nil,Nil,0
xvii,"Whether any other liabilities are in dispute, if so, mention the amount involved and the authority before which it is pending",Nil,Nil,Nil,Nil,Nil,Nil,0
xviii,Totals (Calculated as Sum of Values),"Rs 92,20,467
92 Lacs+","Rs 1,59,31,141
1 Crore+",Nil,Nil,Nil,Nil, 25151608
