0,1,2,3,4,5,6,7,8
i,Cash,"23,209  23 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 23,209
23 Thou+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","SBI Branch Madama Kama Road,Mumbai
1,14,829  1 Lacs+

Saving Amount
1,00,000  1 Lacs+

Di Raigad Dist Bank Alibagh
6,25,115  6 Lacs+

BOM Vargoan
1,000  1 Thou+

Saving No.
2,50,000  2 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 10,90,944
10 Lacs+"
iii,"Bonds, Debentures and Shares in companies","Listed Comapny
3,50,000  3 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 3,50,000
3 Lacs+"
iv,"(a)
NSS, Postal Savings etc","Insurance
18,97,554  18 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 18,97,554
18 Lacs+"
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)",Nil,Nil,Nil,Nil,Nil,Nil,Nil
vii,Jewellery (give details weight value),"14234 Gram Gold
5,53,185  5 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 5,53,185
5 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"39,14,884  39 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 39,14,884
39 Lacs+",
Totals (Calculated as Sum of Values),"Rs 39,14,892
39 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 39,14,892
39 Lacs+",
