0,1,2,3,4,5,6,7,8
i,Cash,"20,000  20 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 20,000
20 Thou+"
ii,"Deposits in Banks, Financial Institutions and Non-Banking Financial Companies","HDFC
98,286  98 Thou+

SBI
1,834  1 Thou+

Jijau Commercial Co-Operative Bank Ltd
9,659  9 Thou+

The Amravati District Sah Bank
2,71,755  2 Lacs+

SBI
9,461  9 Thou+

Rashtra Sant Tukdoji Maharaj
50,000  50 Thou+",Nil,Nil,"Axis Bank
2,290  2 Thou+

Rashtra Sant Tukdoji
50,000  50 Thou+",Nil,Nil,"Rs 4,93,285
4 Lacs+"
iii,"Bonds, Debentures and Shares in companies",Nil,Nil,Nil,Nil,Nil,Nil,Nil
iv,"(a)
NSS, Postal Savings etc","Amravati Camp Post Office
21,671  21 Thou+",Nil,Nil,Nil,Nil,Nil,"Rs 21,671
21 Thou+"
"(b)
LIC or other insurance Policies",Nil,Nil,Nil,Nil,Nil,Nil,Nil,
v,Personal loans/advance given,Nil,Nil,Nil,Nil,Nil,Nil,Nil
vi,"Motor Vehicles (details of make, etc.)","Maruti Riyaz Alfa MH27CG0405
13,50,000  13 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 13,50,000
13 Lacs+"
vii,Jewellery (give details weight value),"400 Gram Gold
15,00,000  15 Lacs+",Nil,Nil,Nil,Nil,Nil,"Rs 15,00,000
15 Lacs+"
viii,"Other assets, such as values of claims / interests",Nil,Nil,Nil,Nil,Nil,Nil,Nil
Gross Total Value (as per Affidavit),"33,32,645  33 Lacs+",Nil,Nil,"52,290  52 Thou+",Nil,Nil,"Rs 33,84,935
33 Lacs+",
Totals (Calculated as Sum of Values),"Rs 33,32,666
33 Lacs+",Nil,Nil,"Rs 52,290
52 Thou+",Nil,Nil,"Rs 33,84,956
33 Lacs+",
